Epoch,Loss,AUC
0,8.042315483093262,0.5
1,8.042315483093262,0.5
2,0.7592839598655701,0.5080735562404002
3,0.7000345587730408,0.5032777053501414
4,0.760674774646759,0.4987781070434415
5,1.1021801233291626,0.4901753802562451
6,0.8977895379066467,0.49768787011270765
7,1.2901415824890137,0.509094835154756
8,0.6962969899177551,0.5011751510273601
9,8.042315483093262,0.5
10,8.042315483093262,0.5
11,8.042315483093262,0.5
12,8.042315483093262,0.5
13,5.3478522300720215,0.4913807539767816
14,8.042315483093262,0.5
15,8.042315483093262,0.5
16,0.6932473182678223,0.5012192567346044
17,8.042315483093262,0.5
18,0.7439493536949158,0.4986909076770097
19,0.8726900219917297,0.5102571315394607
20,8.042315483093262,0.5
21,8.042315483093262,0.5
22,8.042315483093262,0.5
23,0.7409136295318604,0.49966166580531035
24,6.068101406097412,0.5093508914747732
25,8.042315483093262,0.5
26,0.706851065158844,0.5007687729242147
27,1.165046215057373,0.4905432760482031
28,8.042315483093262,0.5
29,1.5263065099716187,0.49530532126869753
30,8.042315483093262,0.5
31,8.040782928466797,0.4999363470742417
32,0.7077651619911194,0.4927268187005521
33,0.6985867619514465,0.4941661795641282
34,8.042315483093262,0.5
35,8.042315483093262,0.5
36,0.7691618204116821,0.5018995489089608
37,0.7348926067352295,0.5042365963988098
38,0.8238315582275391,0.5070113057031046
39,7.987742900848389,0.5
40,8.042315483093262,0.5
41,8.042315483093262,0.5
42,0.8542800545692444,0.4983453422357215
43,3.5562732219696045,0.5057990353647625
44,0.888663113117218,0.504841670549857
45,7.980370044708252,0.499808257701649
46,8.042315483093262,0.5
47,8.042315483093262,0.5
48,1.504643201828003,0.5066953263441185
49,2.0819177627563477,0.5080125476982739
50,0.7035893201828003,0.5099929461882785
51,3.4233922958374023,0.4969304419207413
52,8.042315483093262,0.5
53,8.042315483093262,0.5
54,8.042315483093262,0.5
55,8.042315483093262,0.5
56,5.8258185386657715,0.502671798707951
57,8.042315483093262,0.5
58,0.8923776745796204,0.5098846162378246
59,3.486759662628174,0.5073955983059164
60,6.594215393066406,0.5014656251429823
61,8.042315483093262,0.5
62,8.042315483093262,0.5
63,0.7502003312110901,0.5016549842313935
64,2.1466357707977295,0.5021022931490893
65,8.040912628173828,0.500000130586846
66,8.042315483093262,0.5
67,8.042315483093262,0.5
68,1.0486030578613281,0.5032090982859121
69,0.8535574078559875,0.5095441191984977
70,0.6997818946838379,0.49138232101893387
71,8.042315483093262,0.5
72,1.085534930229187,0.501267361664008
73,8.042315483093262,0.5
74,8.042315483093262,0.5
75,8.042315483093262,0.5
76,8.042315483093262,0.5
77,8.042315483093262,0.5
78,8.042315483093262,0.5
79,8.042315483093262,0.5
80,0.7047385573387146,0.49740204815347505
81,4.3748602867126465,0.4978937239521071
82,8.034212112426758,0.4997453556502553
83,0.9170495867729187,0.5070412100908439
84,3.2930779457092285,0.4930985994511794
85,8.042315483093262,0.5
86,0.7292989492416382,0.5092968040354862
87,8.042315483093262,0.5
88,0.8360961675643921,0.5001017761231191
89,8.042315483093262,0.5
90,0.7420346736907959,0.5045596437708368
91,8.042315483093262,0.5
92,8.042315483093262,0.5
93,8.042315483093262,0.5
94,8.042315483093262,0.5
95,8.042315483093262,0.5
96,0.7164146304130554,0.5097596609495365
97,6.731753826141357,0.4994266094824692
98,0.8034664988517761,0.5095862987497632
99,7.987742900848389,0.5
